Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2022-09-29,8676.0,0.0,train,,,,
2022-09-30,8244.0,0.0,train,,,,
2022-10-01,8277.0,0.0,train,,,,
2022-10-02,9981.0,0.0,train,,,,
2022-10-03,8834.0,0.0,train,,,,
2022-10-04,8915.0,0.0,train,,,,
2022-10-05,8938.0,0.0,train,,,,
2022-10-06,9008.0,0.0,train,,,,
2022-10-07,9754.0,0.0,train,,,,
2022-10-08,9651.0,0.0,train,,,,
2022-10-09,9270.0,0.0,train,,,,
2022-10-10,9250.0,0.0,train,,,,
2022-10-11,9900.0,0.0,train,,,,
2022-10-12,9870.0,0.0,train,,,,
2022-10-13,9117.0,0.0,train,,,,
2022-10-14,8888.0,0.0,train,,,,
2022-10-15,10134.0,0.0,train,,,,
2022-10-16,9306.0,0.0,train,,,,
2022-10-17,8123.0,0.0,train,,,,
2022-10-18,8802.0,0.0,train,,,,
2022-10-19,8806.0,0.0,train,,,,
2022-10-20,8004.0,0.0,train,,,,
2022-10-21,8799.0,0.0,train,,,,
2022-10-22,9426.0,0.0,train,,,,
2022-10-23,9894.0,0.0,train,,,,
2022-10-24,9490.0,0.0,train,,,,
2022-10-25,7939.0,0.0,train,,,,
2022-10-26,7565.0,0.0,train,,,,
2022-10-27,9343.0,0.0,train,,,,
2022-10-28,9848.0,0.0,train,,,,
2022-10-29,8344.0,0.0,train,,,,
2022-10-30,8403.0,0.0,train,,,,
2022-10-31,8348.0,0.0,train,,,,
2022-11-01,9586.0,0.0,train,,,,
2022-11-02,9480.0,0.0,train,,,,
2022-11-03,8031.0,0.0,train,,,,
2022-11-04,9596.0,0.0,train,,,,
2022-11-05,10027.0,0.0,train,,,,
2022-11-06,8971.0,0.0,train,,,,
2022-11-07,9522.0,0.0,train,,,,
2022-11-08,9237.0,0.0,train,,,,
2022-11-09,9332.0,0.0,train,,,,
2022-11-10,9415.0,0.0,train,,,,
2022-11-11,8509.0,0.0,train,,,,
2022-11-12,10448.0,0.0,train,,,,
2022-11-13,9331.0,0.0,train,,,,
2022-11-14,8599.0,0.0,train,,,,
2022-11-15,9674.0,0.0,train,,,,
2022-11-16,9608.0,0.0,train,,,,
2022-11-17,9530.0,0.0,train,,,,
2022-11-18,9604.0,0.0,train,,,,
2022-11-19,9902.0,0.0,train,,,,
2022-11-20,8424.0,0.0,train,,,,
2022-11-21,9371.0,0.0,train,,,,
2022-11-22,8529.0,0.0,train,,,,
2022-11-23,8800.0,0.0,train,,,,
2022-11-24,10218.0,0.0,train,,,,
2022-11-25,8713.0,0.0,train,,,,
2022-11-26,9889.0,0.0,train,,,,
2022-11-27,8451.0,0.0,train,,,,
2022-11-28,8615.0,0.0,train,,,,
2022-11-29,8317.0,0.0,train,,,,
2022-11-30,9059.0,0.0,train,,,,
2022-12-01,7672.0,0.0,train,,,,
2022-12-02,9287.0,0.0,train,,,,
2022-12-03,9579.0,0.0,train,,,,
2022-12-04,9369.0,0.0,train,,,,
2022-12-05,10441.0,0.0,train,,,,
2022-12-06,9887.0,0.0,train,,,,
2022-12-07,9685.0,0.0,train,,,,
2022-12-08,9592.0,0.0,train,,,,
2022-12-09,10562.0,0.0,train,,,,
2022-12-10,8752.0,0.0,train,,,,
2022-12-11,8926.0,0.0,train,,,,
2022-12-12,9530.0,0.0,train,,,,
2022-12-13,9537.0,0.0,train,,,,
2022-12-14,10146.0,0.0,train,,,,
2022-12-15,9422.0,0.0,train,,,,
2022-12-16,9297.0,0.0,train,,,,
2022-12-17,9901.0,0.0,train,,,,
2022-12-18,10614.0,0.0,train,,,,
2022-12-19,9813.0,0.0,train,,,,
2022-12-20,8862.0,0.0,train,,,,
2022-12-21,10048.0,0.0,train,,,,
2022-12-22,9479.0,0.0,train,,,,
2022-12-23,8932.0,0.0,train,,,,
2022-12-24,10158.0,0.0,train,,,,
2022-12-25,9703.0,0.0,train,,,,
2022-12-26,9956.0,0.0,train,,,,
2022-12-27,9304.0,0.0,train,,,,
2022-12-28,11416.0,0.0,train,,,,
